Organization,Month_Year,Count,Unique,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),Old Issues (Open for >120 days),Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor),Views count,Views unique,Clones count,Clones unique
usdot-fhwa-OPS,2023-07,1008.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2785.0,291.0,781.0,144.0
usdot-fhwa-OPS,2023-08,1075.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2429.0,246.0,1249.0,154.0
usdot-fhwa-OPS,2023-09,0.0,0.0,206.0,24.0,118.0,332.0,274.0,58.0,64.0,64.0,54.0,216.0,786.0,592.0,100.0,58.0,12.0,66.0,28.0,38.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
usdot-fhwa-OPS,2023-10,289.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,133.0,272.0,116.0
usdot-fhwa-OPS,2023-11,928.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350.0,359.0,1077.0,196.0
usdot-fhwa-OPS,2023-12,707.0,253.0,208.0,24.0,120.0,336.0,278.0,58.0,68.0,66.0,62.0,216.0,804.0,596.0,100.0,62.0,12.0,66.0,28.0,38.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2464.0,334.0,977.0,228.0
usdot-fhwa-OPS,2024-01,626.0,225.0,214.0,24.0,126.0,342.0,282.0,60.0,72.0,70.0,64.0,216.0,810.0,600.0,102.0,66.0,12.0,68.0,28.0,40.0,4.0,4.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1447.0,220.0,1152.0,424.0
usdot-fhwa-OPS,2024-02,1138.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4042.0,326.0,594.0,212.0
usdot-fhwa-OPS,2024-03,867.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3067.0,266.0,624.0,268.0
usdot-fhwa-OPS,2024-04,1112.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3527.0,347.0,774.0,143.0
usdot-fhwa-OPS,2024-05,897.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646.0,327.0,531.0,219.0
usdot-fhwa-stol,2022-08,0.0,0.0,848.0,852.0,428.0,2034.0,1742.0,292.0,436.0,388.0,350.0,517.0,7094.0,5640.0,1426.0,452.0,191.0,483.0,304.0,181.0,92.0,92.0,0.0,112.0,252.0,252.0,0.0,0.0,220.0,54.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
usdot-fhwa-stol,2022-09,4883.0,1503.0,858.0,850.0,436.0,2064.0,1740.0,324.0,468.0,406.0,348.0,666.0,6982.0,5574.0,1484.0,476.0,179.0,468.0,285.0,185.0,60.0,60.0,0.0,26.0,160.0,160.0,0.0,0.0,120.0,20.0,33.0,33.0,0.0,0.0,10941.0,1412.0,4584.0,1225.0
usdot-fhwa-stol,2022-10,4710.0,1577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9293.0,1465.0,5372.0,1340.0
usdot-fhwa-stol,2022-11,4993.0,1830.0,898.0,952.0,466.0,2154.0,1782.0,372.0,452.0,408.0,354.0,649.0,7150.0,5636.0,1582.0,460.0,182.0,490.0,291.0,201.0,44.0,42.0,2.0,44.0,78.0,78.0,0.0,0.0,58.0,34.0,45.0,43.0,2.0,0.0,9649.0,1530.0,4635.0,1909.0
usdot-fhwa-stol,2022-12,3788.0,1419.0,912.0,954.0,474.0,2214.0,1842.0,372.0,490.0,466.0,368.0,647.0,7240.0,5710.0,1582.0,460.0,185.0,492.0,293.0,201.0,60.0,60.0,0.0,22.0,74.0,74.0,0.0,0.0,50.0,24.0,42.0,42.0,0.0,0.0,7433.0,1283.0,3933.0,1741.0
usdot-fhwa-stol,2023-01,3790.0,1340.0,930.0,860.0,492.0,2260.0,1888.0,372.0,458.0,430.0,380.0,647.0,7342.0,5796.0,1596.0,484.0,187.0,496.0,295.0,203.0,40.0,40.0,0.0,78.0,94.0,84.0,10.0,0.0,56.0,18.0,40.0,37.0,3.0,0.0,6537.0,1050.0,2840.0,1308.0
