Org,Repo,Date,Views count,Views unique
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-13,28,4
usdot-fhwa-stol,carma-config,2023-12-13,48,5
usdot-fhwa-stol,carma-delphi-esr-driver,2023-12-13,71,2
usdot-fhwa-stol,carma-messenger,2023-12-13,1,1
usdot-fhwa-stol,carma-msgs,2023-12-13,32,2
usdot-fhwa-stol,carma-ns3-adapter,2023-12-13,63,1
usdot-fhwa-stol,carma-platform,2023-12-13,112,21
usdot-fhwa-stol,carma-streets,2023-12-13,38,6
usdot-fhwa-stol,carma-utils,2023-12-13,30,3
usdot-fhwa-stol,carma-web-ui,2023-12-13,1,1
usdot-fhwa-stol,cda-telematics,2023-12-13,2,1
usdot-fhwa-stol,cdasim,2023-12-13,54,4
usdot-fhwa-stol,dwm1001_ros2,2023-12-13,3,1
usdot-fhwa-stol,multiple_object_tracking,2023-12-13,14,2
usdot-fhwa-stol,voices-poc,2023-12-13,8,1
usdot-fhwa-stol,actions,2023-12-14,7,1
usdot-fhwa-stol,autoware.auto,2023-12-14,15,2
usdot-fhwa-stol,carma-analytics-fotda,2023-12-14,20,3
usdot-fhwa-stol,carma-base,2023-12-14,5,2
usdot-fhwa-stol,carma-carla-integration,2023-12-14,100,6
usdot-fhwa-stol,carma-cloud,2023-12-14,15,9
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-14,35,7
usdot-fhwa-stol,carma-config,2023-12-14,52,6
usdot-fhwa-stol,carma-lightbar-driver,2023-12-14,7,1
usdot-fhwa-stol,carma-messenger,2023-12-14,24,4
usdot-fhwa-stol,carma-msgs,2023-12-14,63,5
usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,2023-12-14,10,1
usdot-fhwa-stol,carma-ns3-adapter,2023-12-14,74,2
usdot-fhwa-stol,carma-platform,2023-12-14,366,26
usdot-fhwa-stol,carma-ssc-interface-wrapper,2023-12-14,4,1
usdot-fhwa-stol,carma-streets,2023-12-14,211,8
usdot-fhwa-stol,carma-time-lib,2023-12-14,1,1
usdot-fhwa-stol,carma-utils,2023-12-14,84,6
usdot-fhwa-stol,carma-vehicle-model-framework,2023-12-14,5,1
usdot-fhwa-stol,carma-velodyne-lidar-driver,2023-12-14,4,2
usdot-fhwa-stol,cda-telematics,2023-12-14,25,2
usdot-fhwa-stol,cdasim,2023-12-14,120,6
usdot-fhwa-stol,multiple_object_tracking,2023-12-14,31,4
usdot-fhwa-stol,ns3-federate,2023-12-14,2,2
usdot-fhwa-stol,voices-poc,2023-12-14,321,4
usdot-fhwa-stol,carma-config,2023-12-15,3,1
usdot-fhwa-stol,carma-streets,2023-12-15,3,1
